permit_number,issue_date,project_value,type_of_work,address,PostalCode,building_contractor,property_use,year,n,FSA,logPropVal
BP-2017-02647,2017-05-24,70000,Addition / Alteration,"1177 W HASTINGS STREET, Vancouver, BC V6E 2K3", V6E 2K3,Fusion Project Management Ltd,Office Uses,2017,41, V6E,4.845098040014257
BP-2017-02163,2017-05-26,470000,Addition / Alteration,"701 W GEORGIA STREET, Vancouver, BC V7Y 1K8", V7Y 1K8,NA,Retail Uses,2017,113, V7Y,5.672097857935717
DB-2016-02338,2017-05-29,185268,New Building,"547 E 30TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Vancouver Lower Mainland Construction Ltd,Dwelling Uses,2017,843, V1V,5.267800413255474
BP-2017-02482,2017-05-31,58000,Addition / Alteration,"200 GRANVILLE STREET, Vancouver, BC V6C 1S4", V6C 1S4,Aura Office Environments Inc,Office Uses,2017,38, V6C,4.763427993562937
BP-2017-02353,2017-06-05,225000,Addition / Alteration,"200 GRANVILLE STREET, Vancouver, BC V6C 1S4", V6C 1S4,Summit Brooke Development Corporation,Office Uses,2017,38, V6C,5.352182518111363
BP-2017-02625,2017-06-07,85000,Addition / Alteration,"701 W GEORGIA STREET, Vancouver, BC V7Y 1K8", V7Y 1K8,TotalPlan Inc,Office Uses,2017,113, V7Y,4.929418925714293
BP-2017-02726,2017-06-07,250000,Addition / Alteration,"650 W GEORGIA STREET, Vancouver, BC V6B 4N9", V6B 4N9,NA,Office Uses,2017,46, V6B,5.3979400086720375
BP-2017-01485,2017-06-08,100000,Addition / Alteration,"1075 W GEORGIA STREET, Vancouver, BC V6E 3C9", V6E 3C9,Gibraltar Holdings,Office Uses,2017,44, V6E,5
BP-2017-02340,2017-06-13,160000,Addition / Alteration,"885 W GEORGIA STREET, Vancouver, BC V6C 3E8", V6C 3E8,Priority Projects,Office Uses,2017,40, V6C,5.204119982655925
BP-2017-03110,2017-06-21,650000,Addition / Alteration,"700 W GEORGIA STREET, Vancouver, BC V7Y 1K8", V7Y 1K8,Fusion Project Management Ltd,Office Uses,2017,113, V7Y,5.812913356642856
BP-2017-02885,2017-06-23,32000,Addition / Alteration,"700 W GEORGIA STREET, Vancouver, BC V7Y 1K8", V7Y 1K8,Aura Office Environments Inc,Office Uses,2017,113, V7Y,4.505149978319906
BP-2016-02064,2017-06-29,30000,Demolition / Deconstruction,"5093 CHAMBERS STREET, Vancouver, BC V1V 1V1", V1V 1V1,Hans Demolition and Excavating Ltd.,Dwelling Uses,2017,843, V1V,4.477121254719663
DB-2016-02765,2017-07-04,800000,New Building,"757 WINDERMERE STREET, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2017,843, V1V,5.903089986991944
BP-2016-02056,2017-07-06,15000,Demolition / Deconstruction,"5188 YEW STREET, Vancouver, BC V1V 1V1", V1V 1V1,Khela Excavating Ltd.,Dwelling Uses,2017,843, V1V,4.176091259055681
BP-2017-03230,2017-07-10,200000,Temporary Building / Structure,"5189 EARLES STREET, Vancouver, BC V1V 1V1", V1V 1V1,ITC Special Projects Ltd,Office Uses,2017,843, V1V,5.301029995663981
DB-2016-03465,2017-07-12,207000,New Building,"1444 E 61ST AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Pangli Construction Ltd,Dwelling Uses,2017,843, V1V,5.315970345456917
BP-2017-03226,2017-07-13,100000,Addition / Alteration,"885 W GEORGIA STREET, Vancouver, BC V6C 3E8", V6C 3E8,Syncor Solutions Limited,Office Uses,2017,40, V6C,5
BP-2017-03003,2017-07-14,160000,Addition / Alteration,"700 W GEORGIA STREET, Vancouver, BC V7Y 1K8", V7Y 1K8,CDC Construction Ltd,Office Uses,2017,113, V7Y,5.204119982655925
DB-2016-02110,2017-07-14,224240,New Building,"5005 CARNARVON STREET, Vancouver, BC V1V 1V1", V1V 1V1,Jamey's Enterprises Ltd,Dwelling Uses,2017,843, V1V,5.35071308475223
DB-2016-04219,2017-07-14,1284250,New Building,"3123 COPLEY STREET, Vancouver, BC V1V 1V1", V1V 1V1,Kingdom Builders Inc,Dwelling Uses,2017,843, V1V,6.108649574396375
BP-2017-01790,2017-07-18,31250,Demolition / Deconstruction,"5021 QUEBEC STREET, Vancouver, BC V1V 1V1", V1V 1V1,D & S Bulldozing Ltd,Dwelling Uses,2017,843, V1V,4.494850021680094
DB-2016-01497,2017-07-18,821000,New Building,"4848 BLENHEIM STREET, Vancouver, BC V1V 1V1", V1V 1V1,Bouteek Homes Limited,Dwelling Uses,2017,843, V1V,5.914343157119441
DB-2016-04358,2017-07-20,219370,New Building,"4789 CARNARVON STREET, Vancouver, BC V1V 1V1", V1V 1V1,Smallworks Studio and Laneway Housing Inc,Dwelling Uses,2017,843, V1V,5.341177235247365
BP-2017-03433,2017-07-21,160000,Addition / Alteration,"1177 W HASTINGS STREET, Vancouver, BC V6E 2K3", V6E 2K3,Fusion Project Management Ltd,Office Uses,2017,41, V6E,5.204119982655925
DB-2016-01392,2017-07-24,921000,New Building,"1396 E 34TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Westcoast Platinum Developments Ltd,Dwelling Uses,2017,843, V1V,5.964259630196849
BP-2017-00958,2017-07-26,91750000,New Building,"8570 RIVERGRASS DRIVE, Vancouver, BC V1V 1V1", V1V 1V1,Wesgroup Contracting Ltd,Dwelling Uses,2017,843, V1V,7.962606072924127
BP-2017-02563,2017-07-27,120000,Addition / Alteration,"183 W 2ND AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Fusion Project Management Ltd,Office Uses,2017,843, V1V,5.079181246047625
BP-2017-03611,2017-07-27,85000,Addition / Alteration,"666 BURRARD STREET, Vancouver, BC V6C 2X8", V6C 2X8,TotalPlan Inc,Office Uses,2017,41, V6C,4.929418925714293
BP-2017-03620,2017-07-27,173000,Addition / Alteration,"595 BURRARD STREET, Vancouver, BC V7X 1K8", V7X 1K8,Aura Office Environments Inc,Office Uses,2017,33, V7X,5.238046103128795
BP-2017-00570,2017-07-31,50000000,New Building,"7428 ALBERTA STREET, Vancouver, BC V1V 1V1", V1V 1V1,Axiom Builders Inc,Dwelling Uses,2017,843, V1V,7.698970004336019
BP-2017-03490,2017-08-03,390000,Addition / Alteration,"701 W GEORGIA STREET, Vancouver, BC V7Y 1K8", V7Y 1K8,3469051 Canada Inc,Retail Uses,2017,113, V7Y,5.5910646070264995
BP-2017-03672,2017-08-03,54000,Addition / Alteration,"701 W GEORGIA STREET, Vancouver, BC V7Y 1K8", V7Y 1K8,NA,Institutional Uses,2017,113, V7Y,4.732393759822968
BP-2017-03675,2017-08-03,35000,Addition / Alteration,"701 W GEORGIA STREET, Vancouver, BC V7Y 1K8", V7Y 1K8,NA,Institutional Uses,2017,113, V7Y,4.544068044350276
DB-2017-01304,2017-08-04,211000,New Building,"2851 YALE STREET, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2017,843, V1V,5.324282455297693
DB452010,2017-08-04,712250,New Building,"852 W 18TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2017,843, V1V,5.852632457911515
BP-2017-03583,2017-08-08,186000,Addition / Alteration,"1075 W GEORGIA STREET, Vancouver, BC V6E 3C9", V6E 3C9,Unison Construction Management Ltd,Office Uses,2017,44, V6E,5.269512944217916
BP-2017-03812,2017-08-10,70000,Addition / Alteration,"1333 W BROADWAY, Vancouver, BC V6H 4C1", V6H 4C1,Reotech Construction Ltd,Office Uses,2017,32, V6H,4.845098040014257
BP-2017-03907,2017-08-10,400000,Addition / Alteration,"1177 W HASTINGS STREET, Vancouver, BC V6E 2K3", V6E 2K3,Focus Project Management Ltd,Office Uses,2017,41, V6E,5.6020599913279625
DB-2017-01516,2017-08-14,30000,Demolition / Deconstruction,"548 W KING EDWARD AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2017,843, V1V,4.477121254719663
DB-2017-03187,2017-08-17,220360,New Building,"1273 HAZELTON STREET, Vancouver, BC V1V 1V1", V1V 1V1,Fixright Construction Ltd,Dwelling Uses,2017,843, V1V,5.343132763701284
BP-2017-03923,2017-08-23,15000,Addition / Alteration,"650 W GEORGIA STREET, Vancouver, BC V6B 4N9", V6B 4N9,NA,Office Uses,2017,46, V6B,4.176091259055681
DB-2017-02307,2017-08-23,63306,Demolition / Deconstruction,"725 W 14TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,D Litchfield And Co Ltd,Dwelling Uses,2017,843, V1V,4.801444873420249
DB-2017-02314,2017-08-23,63306,Demolition / Deconstruction,"745 W 14TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,D Litchfield And Co Ltd,Dwelling Uses,2017,843, V1V,4.801444873420249
DB-2017-02316,2017-08-23,63306,Demolition / Deconstruction,"755 W 14TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,D Litchfield And Co Ltd,Dwelling Uses,2017,843, V1V,4.801444873420249
BP-2017-03140,2017-08-25,400000,Addition / Alteration,"200 GRANVILLE STREET, Vancouver, BC V6C 1S4", V6C 1S4,NA,Office Uses,2017,38, V6C,5.6020599913279625
BP-2017-03704,2017-08-25,60000,Addition / Alteration,"595 BURRARD STREET, Vancouver, BC V7X 1K8", V7X 1K8,Omicron Construction Ltd,Office Uses,2017,33, V7X,4.778151250383644
DB-2017-01642,2017-08-25,134000,New Building,"5798 JOYCE STREET, Vancouver, BC V1V 1V1", V1V 1V1,Royal View Construction Ltd,Dwelling Uses,2017,843, V1V,5.127104798364807
DB-2017-01186,2017-08-28,196000,New Building,"3530 FALAISE AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Richtown Construction Ltd,Dwelling Uses,2017,843, V1V,5.292256071356476
BP-2017-03054,2017-08-30,64700,Demolition / Deconstruction,"585 W 41ST AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Assertive Excavating & Demolition Ltd,Institutional Uses,2017,843, V1V,4.810904280668701
BP-2017-04128,2017-08-30,3000,Addition / Alteration,"200 GRANVILLE STREET, Vancouver, BC V6C 1S4", V6C 1S4,Fusion Project Management Ltd,Office Uses,2017,38, V6C,3.4771212547196626
DB-2016-00304,2017-08-30,225000,New Building,"5336 CROWN STREET, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2017,843, V1V,5.352182518111363
DB-2016-04370,2017-08-30,167750,New Building,"2968 PARKER STREET, Vancouver, BC V1V 1V1", V1V 1V1,Northern Concepts Ltd,Dwelling Uses,2017,843, V1V,5.22466252884103
DB-2017-02557,2017-08-31,225000,New Building,"4742 NARVAEZ DRIVE, Vancouver, BC V1V 1V1", V1V 1V1,Andrew Cheung Architects Inc,Dwelling Uses,2017,843, V1V,5.352182518111363
DB-2017-01493,2017-09-01,522250,New Building,"3144 E 17TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,PSN Construction Ltd,Dwelling Uses,2017,843, V1V,5.717878448652346
BP-2017-04103,2017-09-05,40000,Addition / Alteration,"200 GRANVILLE STREET, Vancouver, BC V6C 1S4", V6C 1S4,Reotech Construction Ltd,Office Uses,2017,38, V6C,4.6020599913279625
BP-2017-03833,2017-09-06,150000,Addition / Alteration,"1066 W HASTINGS STREET, Vancouver, BC V6E 4M1", V6E 4M1,Syncor Solutions Limited,Office Uses,2017,31, V6E,5.176091259055681
BP-2017-03922,2017-09-06,50000,Addition / Alteration,"1055 W HASTINGS STREET, Vancouver, BC V6E 2E9", V6E 2E9,NA,Office Uses,2017,40, V6E,4.698970004336019
BP-2017-00646,2017-09-07,483400,New Building,"3181 ALBERTA STREET, Vancouver, BC V1V 1V1", V1V 1V1,Noort Holdings Ltd,Dwelling Uses,2017,843, V1V,5.684306646071631
BP-2017-04111,2017-09-08,18000,Addition / Alteration,"1075 W GEORGIA STREET, Vancouver, BC V6E 3C9", V6E 3C9,Gibraltar Holdings,Office Uses,2017,44, V6E,4.2552725051033065
DB-2017-04175,2017-09-08,4900,Addition / Alteration,"937 SALSBURY DRIVE, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2017,843, V1V,3.690196080028514
DB-2017-01769,2017-09-15,187000,New Building,"3728 MANITOBA STREET, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2017,843, V1V,5.271841606536499
DB-2017-02179,2017-09-18,161100,New Building,"3555 TRIUMPH STREET, Vancouver, BC V1V 1V1", V1V 1V1,Animark Holdings,Dwelling Uses,2017,843, V1V,5.207095540419218
BP-2016-03074,2017-09-22,5200000,New Building,"443 W 63RD AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Matacan Construction Corp,Dwelling Uses,2017,843, V1V,6.7160033436347994
BP-2017-04537,2017-09-22,183180,Addition / Alteration,"200 GRANVILLE STREET, Vancouver, BC V6C 1S4", V6C 1S4,NA,Office Uses,2017,38, V6C,5.2628780546823055
DB-2017-00150,2017-09-25,235000,New Building,"155 ONTARIO PLACE, Vancouver, BC V1V 1V1", V1V 1V1,Anmol Holding Ltd,Dwelling Uses,2017,843, V1V,5.371067862271736
BP-2017-04410,2017-09-27,180000,Addition / Alteration,"885 W GEORGIA STREET, Vancouver, BC V6C 3E8", V6C 3E8,Novacom Construction Ltd,Office Uses,2017,40, V6C,5.2552725051033065
DB-2017-03729,2017-09-29,203750,New Building,"41 W 44TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Insightful Healthy Homes Inc,Dwelling Uses,2017,843, V1V,5.309097617412014
BP-2017-03681,2017-10-06,2000000,New Building,"4135 W 8TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,NA,Institutional Uses,2017,843, V1V,6.301029995663981
BP-2017-03985,2017-10-11,37000,Addition / Alteration,"650 W GEORGIA STREET, Vancouver, BC V6B 4N9", V6B 4N9,NA,Office Uses,2017,46, V6B,4.568201724066995
BP-2017-03986,2017-10-11,37000,Addition / Alteration,"650 W GEORGIA STREET, Vancouver, BC V6B 4N9", V6B 4N9,NA,Office Uses,2017,46, V6B,4.568201724066995
BP-2017-03987,2017-10-11,37000,Addition / Alteration,"650 W GEORGIA STREET, Vancouver, BC V6B 4N9", V6B 4N9,NA,Office Uses,2017,46, V6B,4.568201724066995
BP-2020-00606,2020-03-06,500000,Addition / Alteration,"700 W GEORGIA STREET, Vancouver, BC V7Y 1K8", V7Y 1K8,Fusion Project Management Ltd,Office Uses,2020,113, V7Y,5.698970004336019
BP-2019-05259,2020-03-11,1500000,Addition / Alteration,"701 W GEORGIA STREET, Vancouver, BC V7Y 1K8", V7Y 1K8,PCL CONSTRUCTORS WESTCOAST INC,Retail Uses,2020,113, V7Y,6.176091259055681
BP-2019-05171,2020-03-12,900000,Addition / Alteration,"8525 RIVER DISTRICT CROSSING, Vancouver, BC V1V 1V1", V1V 1V1,NA,Retail Uses,2020,843, V1V,5.954242509439325
BP-2019-05267,2020-03-13,850000,Addition / Alteration,"5189 EARLES STREET, Vancouver, BC V1V 1V1", V1V 1V1,Mansouri Enterprises Inc,Office Uses,2020,843, V1V,5.929418925714293
BP-2020-00590,2020-03-18,50000,Addition / Alteration,"1177 W HASTINGS STREET, Vancouver, BC V6E 2K3", V6E 2K3,Focus Project Management Ltd,Office Uses,2020,41, V6E,4.698970004336019
BP-2020-00663,2020-03-20,30000,Addition / Alteration,"1755 HARO STREET, Vancouver, BC V6G 1H2", V6G 1H2,NA,Dwelling Uses,2020,44, V6G,4.477121254719663
DB-2019-05222,2020-03-25,32978,Demolition / Deconstruction,"708 E 50TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Ajac Construction and Excavation Inc,Dwelling Uses,2020,843, V1V,4.518224313670486
BP-2020-00167,2020-03-26,200000,Addition / Alteration,"1333 W BROADWAY, Vancouver, BC V6H 4C1", V6H 4C1,Humphries Construction Group Ltd,Office Uses,2020,32, V6H,5.301029995663981
DB-2020-00951,2020-04-16,16952,Addition / Alteration,"1915 LAKEWOOD DRIVE, Vancouver, BC V1V 1V1", V1V 1V1,Penfolds Roofing Inc.,Dwelling Uses,2020,843, V1V,4.229220943702738
BP-2020-01079,2020-04-22,30000,Addition / Alteration,"1501 HARO STREET, Vancouver, BC V6G 1G4", V6G 1G4,Solid General Contractors Inc,Dwelling Uses,2020,44, V6G,4.477121254719663
BP-2018-03219,2018-07-05,25000,Addition / Alteration,"1005 JERVIS STREET, Vancouver, BC V6E 3T1", V6E 3T1,NA,Dwelling Uses,2018,38, V6E,4.3979400086720375
BP-2018-03223,2018-07-05,25000,Addition / Alteration,"1005 JERVIS STREET, Vancouver, BC V6E 3T1", V6E 3T1,NA,Dwelling Uses,2018,38, V6E,4.3979400086720375
BP-2018-03224,2018-07-05,25000,Addition / Alteration,"1005 JERVIS STREET, Vancouver, BC V6E 3T1", V6E 3T1,NA,Dwelling Uses,2018,38, V6E,4.3979400086720375
BP-2018-03226,2018-07-05,25000,Addition / Alteration,"1005 JERVIS STREET, Vancouver, BC V6E 3T1", V6E 3T1,NA,Dwelling Uses,2018,38, V6E,4.3979400086720375
BP-2018-03229,2018-07-05,25000,Addition / Alteration,"1005 JERVIS STREET, Vancouver, BC V6E 3T1", V6E 3T1,NA,Dwelling Uses,2018,38, V6E,4.3979400086720375
BP-2018-03230,2018-07-05,25000,Addition / Alteration,"1005 JERVIS STREET, Vancouver, BC V6E 3T1", V6E 3T1,NA,Dwelling Uses,2018,38, V6E,4.3979400086720375
DB-2017-03994,2018-07-05,165357,New Building,"2853 GRAVELEY STREET, Vancouver, BC V1V 1V1", V1V 1V1,Comfort Development Ltd,Dwelling Uses,2018,843, V1V,5.218422584475156
DB-2017-04204,2018-07-05,1081750,New Building,"3003 W 43RD AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Grand Pacific Construction and Design Consultant Ltd,Dwelling Uses,2018,843, V1V,6.034126903870762
DB-2018-00483,2018-07-09,211920,New Building,"2629 E 23RD AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,88 Homes Ltd,Dwelling Uses,2018,843, V1V,5.3261719452891745
DB-2017-05864,2018-07-10,665160,New Building,"8388 ADERA STREET, Vancouver, BC V1V 1V1", V1V 1V1,Home Vitality Solutions Ltd,Dwelling Uses,2018,843, V1V,5.8229261246400865
DB-2018-00474,2018-07-10,190250,New Building,"979 W 21ST AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,PD Moore Homes Inc,Dwelling Uses,2018,843, V1V,5.27932466544261
DB-2018-01382,2018-07-10,240000,New Building,"1781 UPLAND DRIVE, Vancouver, BC V1V 1V1", V1V 1V1,Cyanic Developments Inc,Dwelling Uses,2018,843, V1V,5.380211241711606
BP-2018-00988,2018-07-11,1800000,Addition / Alteration,"666 BURRARD STREET, Vancouver, BC V6C 2X8", V6C 2X8,NA,Office Uses,2018,41, V6C,6.2552725051033065
DB-2018-00175,2018-07-11,829500,New Building,"3099 E 3RD AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Coastline Projects Ltd,Dwelling Uses,2018,843, V1V,5.918816390360379
BP-2017-01420,2018-07-13,21400000,New Building,"3185 RIVERWALK AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2018,843, V1V,7.330413773349191
BP-2018-02407,2018-07-17,906000,Addition / Alteration,"650 W 41ST AVENUE, Vancouver, BC V5Z 2M9", V5Z 2M9,City Wide Building Inc,Office Uses,2018,58, V5Z,5.957128197676813
BP-2018-03029,2018-07-23,25000,Addition / Alteration,"1755 HARO STREET, Vancouver, BC V6G 1H2", V6G 1H2,NA,Dwelling Uses,2018,44, V6G,4.3979400086720375
BP-2018-03030,2018-07-23,25000,Addition / Alteration,"1755 HARO STREET, Vancouver, BC V6G 1H2", V6G 1H2,NA,Dwelling Uses,2018,44, V6G,4.3979400086720375
DB-2018-02845,2018-07-23,925000,Addition / Alteration,"1333 W BROADWAY, Vancouver, BC V6H 4C1", V6H 4C1,Priority Projects,Office Uses,2018,32, V6H,5.9661417327390325
BP-2018-02203,2018-07-24,75000,Addition / Alteration,"700 W GEORGIA STREET, Vancouver, BC V7Y 1K8", V7Y 1K8,Syncor Solutions Limited,Office Uses,2018,113, V7Y,4.8750612633917
DB-2017-05772,2018-07-24,219105,New Building,"2247 GALT STREET, Vancouver, BC V1V 1V1", V1V 1V1,Rajvinder Kaur Sidhu & Paramjeet Singh Sidhu,Dwelling Uses,2018,843, V1V,5.340652288321238
BP-2018-02504,2018-07-27,759000,Addition / Alteration,"505 W 61ST AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,NA,Institutional Uses,2018,843, V1V,5.88024177589548
DB-2017-05799,2018-07-27,236782.5,New Building,"1439 E 62ND AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Mezetta Homes Ltd,Dwelling Uses,2018,843, V1V,5.374349601622333
DB-2018-00631,2018-07-27,159000,New Building,"6332 FLEMING STREET, Vancouver, BC V1V 1V1", V1V 1V1,JHD Development LTD,Dwelling Uses,2018,843, V1V,5.201397124320452
DB-2018-01258,2018-07-27,186800,New Building,"7925 WINDSOR STREET, Vancouver, BC V1V 1V1", V1V 1V1,Grand Van Homes Inc,Dwelling Uses,2018,843, V1V,5.271376871894074
DB-2017-00593,2018-07-30,852250,New Building,"199 W 48TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,0820163 BC Ltd,Dwelling Uses,2018,843, V1V,5.930567009900929
BP-2018-00897,2018-07-31,543100,New Building,"3668 W 6TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Holyside Property Development Ltd,Dwelling Uses,2018,843, V1V,5.734879802792627
BP-2018-03348,2018-08-01,750000,Addition / Alteration,"650 W GEORGIA STREET, Vancouver, BC V6B 4N9", V6B 4N9,NA,Office Uses,2018,46, V6B,5.8750612633917
